"filename", "language", "C++", "Ini", "Markdown", "JSON", "XML", "Python", "comment", "blank", "total"
"c:\Users\anto\OneDrive\Documents\PlatformIO\Projects\eirbot-2024-1A\embedded_program\include\task_queue.h", "C++", 10, 0, 0, 0, 0, 0, 19, 10, 39
"c:\Users\anto\OneDrive\Documents\PlatformIO\Projects\eirbot-2024-1A\embedded_program\include\variables.h", "C++", 21, 0, 0, 0, 0, 0, 0, 6, 27
"c:\Users\anto\OneDrive\Documents\PlatformIO\Projects\eirbot-2024-1A\embedded_program\platformio.ini", "Ini", 0, 8, 0, 0, 0, 0, 15, 6, 29
"c:\Users\anto\OneDrive\Documents\PlatformIO\Projects\eirbot-2024-1A\embedded_program\src\cinematic.cpp", "C++", 81, 0, 0, 0, 0, 0, 25, 13, 119
"c:\Users\anto\OneDrive\Documents\PlatformIO\Projects\eirbot-2024-1A\embedded_program\src\conversions.cpp", "C++", 54, 0, 0, 0, 0, 0, 0, 6, 60
"c:\Users\anto\OneDrive\Documents\PlatformIO\Projects\eirbot-2024-1A\embedded_program\src\embedded_strategy.cpp", "C++", 249, 0, 0, 0, 0, 0, 59, 51, 359
"c:\Users\anto\OneDrive\Documents\PlatformIO\Projects\eirbot-2024-1A\embedded_program\src\main.cpp", "C++", 51, 0, 0, 0, 0, 0, 18, 11, 80
"c:\Users\anto\OneDrive\Documents\PlatformIO\Projects\eirbot-2024-1A\embedded_program\src\oled_screen.cpp", "C++", 73, 0, 0, 0, 0, 0, 70, 41, 184
"c:\Users\anto\OneDrive\Documents\PlatformIO\Projects\eirbot-2024-1A\embedded_program\src\printing.cpp", "C++", 13, 0, 0, 0, 0, 0, 0, 3, 16
"c:\Users\anto\OneDrive\Documents\PlatformIO\Projects\eirbot-2024-1A\embedded_program\src\sensors.cpp", "C++", 39, 0, 0, 0, 0, 0, 5, 5, 49
"c:\Users\anto\OneDrive\Documents\PlatformIO\Projects\eirbot-2024-1A\embedded_program\src\signals.cpp", "C++", 75, 0, 0, 0, 0, 0, 25, 13, 113
"c:\Users\anto\OneDrive\Documents\PlatformIO\Projects\eirbot-2024-1A\embedded_program\src\stepper_interface.cpp", "C++", 522, 0, 0, 0, 0, 0, 59, 78, 659
"c:\Users\anto\OneDrive\Documents\PlatformIO\Projects\eirbot-2024-1A\embedded_program\src\steppers.cpp", "C++", 159, 0, 0, 0, 0, 0, 16, 51, 226
"c:\Users\anto\OneDrive\Documents\PlatformIO\Projects\eirbot-2024-1A\embedded_program\src\task_queue.cpp", "C++", 56, 0, 0, 0, 0, 0, 2, 9, 67
"c:\Users\anto\OneDrive\Documents\PlatformIO\Projects\eirbot-2024-1A\embedded_program\src\variables.cpp", "C++", 81, 0, 0, 0, 0, 0, 0, 15, 96
"c:\Users\anto\OneDrive\Documents\PlatformIO\Projects\eirbot-2024-1A\remote_program\flat_projection\README.md", "Markdown", 0, 0, 40, 0, 0, 0, 0, 11, 51
"c:\Users\anto\OneDrive\Documents\PlatformIO\Projects\eirbot-2024-1A\remote_program\flat_projection\detect_aruco_tag.py", "Python", 0, 0, 0, 0, 0, 41, 12, 26, 79
"c:\Users\anto\OneDrive\Documents\PlatformIO\Projects\eirbot-2024-1A\remote_program\flat_projection\get_corner_of_object.py", "Python", 0, 0, 0, 0, 0, 43, 3, 17, 63
"c:\Users\anto\OneDrive\Documents\PlatformIO\Projects\eirbot-2024-1A\remote_program\flat_projection\homo_transformation.py", "Python", 0, 0, 0, 0, 0, 30, 8, 14, 52
"c:\Users\anto\OneDrive\Documents\PlatformIO\Projects\eirbot-2024-1A\simulator\icon.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1, 2
"Total", "-", 1606, 8, 473, 3, 903, 114, 405, 525, 4037
